n;cod_jcyl;provincia;municipio;localidad;denominacion;categoria;latitud;longitud;altitud
116;24-100-0004-001-0000-000;León;Molinaseca;Molinaseca;La Villa de Molinaseca;Conjunto histórico ;42.53791;-6.52038;
117;24-115-0021-004-0000-000;León;Ponferrada;Ponferrada;El Casco Antiguo de Ponferrada;Conjunto histórico;42.54295;-6.59169;542
118;24-115-0021-002-0000-000;León;Ponferrada;Ponferrada;Castillo de El Temple de Ponferrada;Monumento;42.543736;-6.593571;543
119;24-030-0002-031-0000-000;León;Cacabelos;Cacabelos;Yacimiento Arqueologico La Edrada de Cacabelos;Zona Arqueológica;42.60469;-6.72430;480
120;24-030-0003-007-0000-000;León;Cacabelos;Pieros;El Castro de la Ventosa de Pieros;Zona Arqueológica;42.59778;-6.75618;638
121;24-209-0017-007-0000-000;León;Villafranca del Bierzo;Villafranca del Bierzo;Zona Antigua de Villafranca del Bierzo;Conjunto histórico;42.60752;-6.81091;525
122;24-209-0017-001-0000-000;León;Villafranca del Bierzo;Villafranca del Bierzo;Castillo de Villafranca del Bierzo;Castillos;42.604034;-6.810124;526
123;24-209-0017-002-0000-000;León;Villafranca del Bierzo;Villafranca del Bierzo;Colegiata de Santa Maria de Villafranca del Bierzo;Monumento;42.609498;-6.809471;503
124;24-209-0017-004-0000-000;León;Villafranca del Bierzo;Villafranca del Bierzo;Iglesia de San Francisco de Asis de Villafranca del Bierzo;Monumento;42.605811;-6.808736;536
125;;León;Villafranca del Bierzo;Villafranca del Bierzo;Iglesia de San Juan o de San Fiz de Villafranca del Bierzo;Monumento;42.6023825;-6.8194466;488
126;24-209-0017-005-0000-000;León;Villafranca del Bierzo;Villafranca del Bierzo;Iglesia de San Nicolas el Real de Villafranca del Bierzo;Monumento;42.607742;-6.808183;518
127;24-209-0017-006-0000-000;León;Villafranca del Bierzo;Villafranca del Bierzo;Iglesia de Santiago de Villafranca del Bierzo;Monumento;42.604039;-6.807724;543
128;24-198-0022-007-0000-000;León;Vega de Valcarce;Vega de Valcarce;Castillo de Sarracin de Vega de Valcarce;Castillos;42.66171;-6.95364;787
129;24-198-0022-012-0000-000;León;Vega de Valcarce;Vega de Valcarce;Horreos de Vega de Valcarce;Hórreos y pallozas;42.662500;-6.94645;1157
130;24-198-0402-003-0000-000;León;Vega de Valcarce;La Laguna;Horreos de La Laguna;Hórreos y pallozas;42.70277;-7.02054;1147
